"","price"
"340",145115.758397453
"341",162551.309284407
"342",185706.03563069
"343",179315.383850407
"344",227197.3788796
"345",225609.167883513
"346",227227.152846572
"347",228710.269523916
"348",228892.768468487
"349",246268.007201885
"350",249724.393105791
"351",258594.957780336
"352",258429.451808858
"353",326494.415836957
"354",36374.5161947049
"355",36579.869206481
"356",94538.2841905226
"357",148191.794917597
"358",28515.5864158073
"359",44621.7358897334
"360",45165.5085912276
"361",45153.3342639278
"362",44199.9703940284
"363",43826.0082900745
"364",42826.1942138434
"365",47920.4503848982
"366",151942.429684505
"367",32820.0700213818
"368",32845.9765333262
"369",40780.7807907589
"370",40464.1889151706
"371",52993.0306689866
"372",21583.5229696885
"373",47230.5247165108
"374",47458.3820111678
"375",47358.3072571216
"376",47437.9933271449
"377",47414.4738516761
"378",56333.8998020281
"379",51213.6670863534
"380",38225.3437157064
"381",40853.6603402025
"382",30886.3102658446
"383",35661.6251224641
"384",28299.9252361235
"385",28547.3499813526
"386",168844.370562508
"387",30111.4725679359
"388",31301.9583619389
"389",41755.3311516832
"390",33215.8088394961
"391",34034.7694326662
"392",33634.4150211637
"393",32997.7596057644
"394",33572.8228298706
"395",43002.5135953312
"396",43312.4130321438
"397",42076.3738518774
"398",33577.8018144772
"399",35098.705197954
"400",35033.6497111599
"401",61474.1479014478
"402",43370.8652456396
"403",53265.7833685033
"404",32684.9956903912
"405",41857.7337879208
"406",33529.8363880565
"407",43584.6212870128
"408",47166.021959363
"409",46534.3579853073
"410",47695.5438534863
"411",51425.0341006964
"412",52926.0394906299
"413",52715.813122206
"414",119524.352044654
"415",123859.143486106
"416",125435.360355889
"417",121617.337807693
"418",19912.2800551135
"419",27810.350456667
"420",34077.1555632713
"421",28931.7725996333
"422",145576.123956219
"423",37907.1946065014
"424",47703.1695012359
"425",62032.6151139464
"426",40225.8388607845
"427",49916.8912647918
"428",58913.6496241865
"429",34714.7591996274
"430",43995.9074088654
"431",51777.4592311915
"432",149176.114497364
"433",195625.415599536
"434",101242.103838163
"435",38101.0333592408
"436",32476.7350622175
"437",31482.9029862879
"438",18570.7357017292
"439",28998.6336810286
"440",23365.9167798102
"441",23783.8437460343
"442",28235.955837008
"443",31373.8287861189
"444",31623.4370199798
"445",43655.1016036266
"446",52472.0348535786
"447",35446.207114828
"448",35745.2262332597
"449",120898.289996634
"450",33958.2806503599
"451",90341.6307685978
"452",28665.6168621276
"453",19038.0229043142
"454",81053.7611805125
"455",81365.1275939628
"456",32065.488189078
"457",45429.5747949701
"458",45392.4219607559
"459",95689.5385927948
"460",55208.2318941859
"461",54779.3756591701
"462",55311.4194030577
"463",55182.1964208931
"464",55228.2248561847
"465",90247.5072004671
"466",79738.4300710457
"467",133100.542137365
"468",40225.3215378847
"469",40244.5393780733
"470",49377.0559663877
"471",13783.3889435457
"472",45885.8619029942
"473",39687.0287138298
"474",44784.7196472984
"475",49335.5113205238
"476",116722.392602968
"477",134134.626748887
"478",115181.204157727
"479",168155.934511634
"480",183071.110310637
"481",13124.6013834717
"482",12814.9652743952
"483",12855.1504448663
"484",12836.1896836643
"485",13089.1602891701
"486",13427.9141869254
"487",35028.5202863729
"488",102589.169640087
"489",99092.7441768468
"490",140392.530745532
"491",93338.6166316919
"492",48439.3616005931
"493",46681.0327803635
"494",136571.925778778
"495",34153.1941885306
"496",23984.2153082115
"497",23818.823946694
"498",24136.8446340413
"499",18908.1871164678
"500",18891.1708313341
"501",18850.5056617235
"502",36647.3160359981
"503",99551.7017152115
"504",100465.833707078
"505",40840.3606669232
"506",41799.7237856272
"507",60920.4330800313
"508",60931.4021153424
"509",60557.6137203716
"510",110772.276785789
"511",124673.912733455
"512",31895.4782609096
"513",20150.4111178662
"514",28048.4219868919
"515",27572.6361418769
"516",39685.6286498834
"517",28445.0914692811
"518",67703.0406980639
"519",23450.0736794983
"520",23305.2031840483
"521",23148.1164294766
"522",23214.4285518791
"523",32152.0872284463
"524",52075.4916618244
"525",38499.1035824485
"526",42377.8793767779
"527",35031.449318212
"528",41998.8114230572
"529",44486.7082558113
"530",37748.7820400907
"531",19048.139840814
"532",19627.1597297312
"533",19239.5438700401
"534",63438.9526609775
"535",68203.1169505555
"536",71362.0872746852
"537",76563.8454253873
"538",76323.8208520597
"539",11416.226542846
"540",11343.0033423406
"541",11444.6277085027
"542",13057.4162152139
"543",13170.083380851
"544",13102.6207583554
"545",40952.3029858094
"546",10857.9613372875
"547",10946.47527379
"548",10913.124335424
"549",10876.7450013774
"550",10960.7066158814
"551",10955.2512336397
"552",10903.8869339914
"553",10709.3257818238
"554",79518.9045656474
"555",105485.215228295
"556",116393.040403041
"557",75132.9951654207
"558",105101.694025836
"559",66006.671151978
"560",135216.905172015
"561",157201.731398103
"562",151278.817502084
"563",159366.511290422
"564",156514.970071666
"565",157266.238896459
"566",12901.363169468
"567",13020.8634756847
"568",69939.5337131647
"569",154698.184282585
"570",50137.6654929856
"571",61478.8374344999
"572",59805.5177577354
"573",68614.7470629329
"574",25810.2134542911
"575",27447.9111988689
"576",66362.2300074619
"577",125197.810320675
"578",125346.369639555
"579",125973.09257265
"580",137194.725522011
"581",131875.095765254
"582",148399.118052728
"583",156744.212430648
"584",152229.093003781
"585",109886.026090025
"586",138257.531757436
"587",66532.254360373
"588",126641.327185598
"589",80300.4634235251
"590",87000.7011821545
"591",93009.1882423348
"592",98924.2855249491
"593",102498.93082553
"594",102823.410202428
"595",81997.1632128659
"596",81651.6782373977
"597",267827.582668464
"598",267449.498885945
"599",56820.2366841873
"600",56762.2525633428
"601",57573.4066753955
"602",57731.1710189881
"603",83090.2671689212
"604",50796.3194053753
"605",127832.202650722
"606",55406.8389726158
"607",76353.3476708732
"608",24472.5205779351
"609",26626.1116515648
"610",88050.4918731928
"611",108864.686446843
"612",55689.3357684009
"613",65746.9811431042
"614",200314.676889171
"615",47238.5251805306
"616",69153.0735230813
"617",87250.8754564969
"618",53058.7772566794
"619",72093.8295024719
"620",74343.7575003344
"621",72384.4105771644
"622",86809.0785245261
"623",39116.2226477335
"624",38710.5081320214
"625",38470.3198426551
"626",38852.8395056529
"627",38152.2770067908
"628",52074.0804028996
"629",62120.4631102667
"630",51347.3163054078
"631",41118.8641524433
"632",38586.4586886962
"633",51823.7782609559
"634",51455.4237393046
"635",50892.8417488601
"636",49586.9738536865
"637",47315.9698262181
"638",12923.5414592506
"639",13163.4937409805
"640",43067.8835826301
"641",219176.970093204
"642",144916.080651031
"643",149861.365667117
"644",142323.707503291
"645",141162.451120669
"646",138597.400153155
"647",44334.8643156378
"648",58850.5881789174
"649",46215.0254742681
"650",47283.6732530101
"651",35904.7368214365
"652",38288.3503974849
"653",73103.6043884072
"654",134914.765459255
"655",60171.4473837386
"656",59769.6712205031
"657",178977.468230862
"658",56436.7008884428
"659",47156.279177476
"660",47139.0635341321
"661",34331.6253950938
"662",35142.2310656194
"663",42894.295356327
"664",62296.1304990043
"665",59224.7197666784
"666",44317.6388045759
"667",48931.568582005
"668",54075.6854029688
"669",69153.377379754
"670",44908.0432351441
"671",47612.0058370793
"672",53169.6972527038
"673",57079.2847100561
"674",11944.2071232011
"675",12589.1980126669
"676",47140.0166345883
"677",50364.3614747267
"678",12554.0643366427
"679",24635.4239513427
"680",248190.546861188
"681",255845.382275294
"682",69480.4883747423
"683",40830.8237201404
"684",45772.7767558491
"685",59094.9877444093
"686",27825.0756120959
"687",25222.8574136455
"688",135813.22947668
"689",39184.0869323314
"690",45720.8001238849
"691",45864.5085387069
"692",49488.4213567611
"693",60675.3553815927
"694",73270.8142864057
"695",47661.4276178099
"696",41611.5183272201
"697",45509.8349785203
"698",31427.7124001327
"699",55908.9316883074
"700",55472.1553918892
"701",52437.0054098361
"702",52562.5483589503
"703",46974.7983881905
"704",121024.626396266
"705",125271.731220681
"706",59964.9956583967
"707",70811.6221545869
"708",81638.1649917543
"709",89098.5432891396
"710",67650.3463779392
"711",67767.4437510289
"712",54331.7776696652
"713",53389.4058169248
"714",16413.8337644053
"715",66673.820499913
"716",72247.1809818711
"717",74180.4078538578
"718",74100.3109257953
"719",73813.8903710351
"720",89053.5538462963
"721",89909.0784389588
"722",88525.5417638769
"723",101825.657363204
"724",100487.943500176
"725",102112.649946452
"726",83913.7136997579
"727",84486.3698370148
"728",246032.857434278
"729",71062.8102378839
"730",66151.3350829773
"731",78262.8562915434
"732",65144.4314786716
"733",68507.9540060209
"734",64564.5797994561
"735",76663.1568759959
"736",82831.0598431254
"737",83135.0095953303
"738",91078.3595787679
"739",193695.847618036
"740",196022.344971713
"741",13717.3427126362
"742",13952.6419318931
"743",42799.4476773695
"744",42936.226235154
"745",206869.635799036
"746",54506.1027461192
"747",141726.078911674
"748",32330.8016060027
"749",203952.378460488
"750",54059.1903834379
"751",71884.5360507495
"752",71211.0410827491
"753",81896.9719392778
"754",80150.4022115453
"755",80327.277811315
"756",87108.3074441572
"757",87427.5762567832
"758",69304.5175860914
"759",67976.6715697009
"760",104498.824635544
"761",96657.7244962535
"762",82546.5635020286
"763",57988.3607630767
"764",66773.4232953665
"765",66697.4957328437
"766",66771.419520711
"767",70752.1150832683
"768",49510.7047101278
"769",91287.8971169897
"770",104893.526196057
"771",106148.679885169
"772",107057.469924647
"773",91522.8924902712
"774",109957.639291904
"775",107639.524592826
"776",120972.450102116
"777",44449.9372063631
"778",71304.6286933258
"779",53116.878112906
"780",64616.422500008
"781",64691.7909168577
"782",64919.4982779335
"783",64799.6228787508
"784",224480.471089531
"785",226930.221832093
"786",234905.851735945
"787",71253.6714337471
"788",77299.3721841913
"789",54043.6882322878
"790",46379.9000359323
"791",134570.027609423
"792",60872.2616171358
"793",37920.9177825962
"794",61561.9489284437
"795",45330.9639373824
"796",53653.739740971
"797",60205.9182660502
"798",81271.9493753141
"799",159709.456218412
"800",43406.4496990864
"801",33942.9512620927
"802",142071.161733315
"803",76009.0784749171
"804",40933.6038139121
"805",69848.9616171359
"806",69741.294833791
"807",60182.7571214936
"808",54131.7681604142
"809",107050.074628893
"810",107811.456482496
"811",43012.6390423605
"812",42760.054608731
"813",43045.3192784363
"814",52897.9774131406
"815",57107.8412118445
"816",65692.981026543
"817",48782.7442050372
"818",54545.7302525558
"819",58680.9760780798
"820",61932.1104935107
"821",61001.8197700933
"822",68150.1190665925
"823",140928.423964149
"824",38495.8221591972
"825",39627.1687327586
"826",38810.7253221057
"827",117296.379539197
"828",69672.984945272
"829",74491.732512248
"830",73047.1300395564
"831",116445.266056465
"832",62316.678527692
"833",38682.2448280367
"834",79320.3461371823
"835",33265.794598499
"836",34780.4274067486
"837",61631.548407467
"838",44848.0917853918
"839",88952.513078911
"840",89417.8883800094
"841",89914.4162943462
"842",96605.4422854873
"843",105262.580715549
"844",105131.978892151
"845",105088.885178115
"846",106096.427446744
"847",21351.3285556689
"848",21851.7588727496
"849",23109.2935638878
"850",47154.3511899057
"851",53563.064094376
"852",60031.8201820869
"853",60857.5175065283
"854",66914.3455101842
"855",62490.9655171283
"856",175149.329076787
"857",191424.745161211
"858",40623.7573524447
"859",50768.7042220919
"860",52274.3139688647
"861",52804.7689153334
"862",52088.1063244197
"863",52488.6106136607
"864",56674.7983796696
"865",59519.2656090447
"866",62832.1061926791
"867",146029.183866278
"868",156313.739951872
"869",167929.410209277
"870",170086.446244771
"871",171525.555324889
"872",221542.74016536
"873",43020.066589621
"874",53159.6290468248
"875",45003.3908066956
"876",37305.0764959735
"877",231692.918490367
"878",231636.62228347
"879",228390.710361959
"880",233886.933860143
"881",182699.703279782
"882",181029.792179589
"883",259683.357524097
"884",388039.421128921
"885",198060.057616931
"886",198881.236720874
"887",208987.457511439
"888",197377.980792128
"889",198703.436179462
"890",195052.915747002
"891",220952.038038947
"892",235212.00751434
"893",236903.001277513
"894",28029.0072151334
"895",27468.4662053011
"896",224483.592489505
"897",46484.1249991363
"898",39117.6698595239
"899",46785.5849872616
"900",64198.3273921465
"901",41301.5740268666
"902",133337.348243798
"903",133808.888793863
"904",154030.409535963
"905",151658.774141255
"906",153254.69448565
"907",154782.038839912
"908",165593.76783818
"909",163861.589395386
"910",165607.514929768
"911",178484.584448342
"912",178867.455071653
"913",147927.432694867
"914",147720.338208364
"915",149475.950669785
"916",147772.61459508
"917",149825.986245114
"918",146668.913460958
"919",147482.894710827
"920",147899.32078667
"921",148163.395577314
"922",149397.695745702
"923",23452.2169815568
"924",33718.5863964324
"925",32888.2248609955
"926",55676.8440426961
"927",57750.5084466203
"928",57154.9839958084
"929",59128.5906310524
"930",154614.279709583
"931",143195.043485814
"932",154432.187507944
"933",168909.476460976
"934",135101.378834427
"935",45266.6959081545
"936",46436.3496604027
"937",50291.4509412193
"938",175255.149067936
"939",159167.736948001
"940",160902.575198256
"941",160911.799293879
"942",41625.7482353163
"943",40409.2814498136
"944",40960.4396947302
"945",40749.5979513745
"946",32634.8856180337
"947",122990.109401219
"948",136244.401572073
"949",40716.8127659249
"950",28552.1517819533
"951",29203.4885318619
"952",29657.2746922104
"953",36582.6373621884
"954",39737.8084713294
"955",18723.8065086075
"956",125091.196126267
"957",125439.337886176
"958",127533.906832927
"959",168529.359293265
"960",162763.695027048
"961",71795.1193064553
"962",72851.9625136882
"963",35842.0354860907
"964",43593.6069148909
"965",35874.3192396913
"966",35958.8757623743
"967",43003.0872132951
"968",42817.8665657852
"969",49431.6760793438
"970",94031.5887944324
"971",109824.059880128
"972",34401.7364431569
"973",30664.4432739855
"974",37806.5420854972
"975",78081.6473013264
"976",93376.5852246034
"977",83127.5719081493
"978",56243.0834842625
"979",72160.0890650034
"980",43318.7831783632
"981",30827.6220944845
"982",103086.0114773
"983",122780.346162571
"984",57046.9903030448
"985",56734.2203113674
"986",62281.094956691
"987",88218.6886896499
"988",93008.9520873934
"989",87499.7136668149
"990",104432.79345776
"991",31905.9856771018
"992",38581.1791965844
"993",43053.8046888895
"994",74190.3004599445
"995",18294.1549202479
"996",18245.9826520672
"997",18143.6463854145
"998",19061.2664585554
"999",19231.0191240435
"1000",33321.0937618919
"1001",39998.6563839438
"1002",41012.5748942886
"1003",30501.5371970134
"1004",26049.9829076205
"1005",61345.7571441751
"1006",49124.4755132264
"1007",50007.1114769581
"1008",67935.4343854859
"1009",53643.0399991339
"1010",103859.93940853
"1011",103448.288322029
"1012",103086.930710943
"1013",62043.4241077213
"1014",69424.2881894333
"1015",51802.0428389889
"1016",71798.9049411972
"1017",75810.7773686672
"1018",86979.6810708681
"1019",70541.1896089335
"1020",70873.2658064397
"1021",66268.7971860814
"1022",52559.9429883851
"1023",50376.0734130549
"1024",31941.9610608171
"1025",70404.734891305
"1026",48593.5837950171
"1027",38643.8310218219
"1028",43833.6121407852
"1029",56178.0157010575
"1030",112167.265120985
"1031",113092.789255159
"1032",127611.105963955
"1033",143367.191168398
"1034",46776.4415758936
"1035",44700.4618505919
"1036",81641.470934601
"1037",90928.0474453118
"1038",87352.0989883054
"1039",85486.8846029462
"1040",85195.0466955797
"1041",85136.7415161695
"1042",83212.9989280762
"1043",85780.9840406564
"1044",86852.9171350452
"1045",86238.6702525012
"1046",88234.1614862787
"1047",86806.9434028968
"1048",80402.2074785543
"1049",72627.93129195
"1050",72807.262675119
"1051",72340.0496348912
"1052",80309.8069832477
"1053",80419.9393576063
"1054",92887.2923880093
"1055",113921.430605045
"1056",177634.943037399
"1057",96188.8961627597
"1058",94822.8823300685
"1059",96251.1177262037
"1060",87077.413625135
"1061",78664.007058221
"1062",19086.8279202075
"1063",19040.076103009
"1064",19051.2108930437
"1065",25462.8533111637
"1066",54183.0340595201
"1067",44759.9870907073
"1068",71253.6267408218
"1069",72560.3435801607
"1070",72152.8597240264
"1071",72306.488718277
"1072",73238.986970331
"1073",72852.9873746872
"1074",37585.3531116903
"1075",39922.2212639994
"1076",47622.0730825133
"1077",54458.13986961
"1078",55387.6717196282
"1079",38969.9951592167
"1080",39128.9648998938
"1081",45244.9943723174
"1082",44836.7651633991
"1083",50329.2420884366
"1084",64356.9912808572
"1085",64701.2432806035
"1086",64541.5672178103
"1087",65230.2272018865
"1088",50809.8171578499
"1089",30974.4620915852
"1090",54843.0632464681
"1091",53777.4548870783
"1092",54797.3691606716
"1093",71173.1312348519
"1094",71609.1623797539
"1095",74261.7419361143
"1096",71275.3384847259
"1097",70861.9907335364
"1098",73804.529359491
"1099",38780.4555725985
"1100",39258.4371387516
"1101",39374.5051328416
"1102",41242.8007948957
"1103",41029.206091577
"1104",72453.3881559334
"1105",73298.0856745563
"1106",61928.3431803884
"1107",70187.8620247325
"1108",94814.2691183199
"1109",60605.8418977834
"1110",59259.4447463077
"1111",35466.0831039245
"1112",83282.0999432292
"1113",46382.4648356864
"1114",11707.8288300159
"1115",11626.7658140989
"1116",58861.7416277206
"1117",31951.5328760351
"1118",26680.0459276037
"1119",55599.1324657859
"1120",38083.4991126638
"1121",11351.8534105123
"1122",45994.6264358729
"1123",45739.8723242943
"1124",54037.1101762576
"1125",11837.8350112471
"1126",50879.5250882491
"1127",47618.8771882196
"1128",63871.0511601386
"1129",60807.4710606568
"1130",60871.9421950522
"1131",65044.1213018643
"1132",67563.9709829199
"1133",48010.9174001638
"1134",50823.5419005823
"1135",66482.0166082081
"1136",116897.539200552
"1137",41525.4341462757
"1138",59408.0346365797
"1139",69449.1067759255
"1140",72467.8121001684
"1141",65651.5961785579
"1142",50100.5200680166
"1143",78557.155292452
"1144",80556.5554155916
"1145",80733.4206020404
"1146",80733.4206020404
"1147",54544.2885559872
"1148",74618.2871436897
"1149",100177.611492645
"1150",100746.240162821
"1151",63777.4044156985
"1152",84133.3469489408
"1153",52034.5740630647
"1154",43518.237173132
"1155",83101.9115293536
"1156",87725.9124142352
"1157",40429.9298116617
"1158",56767.2533075555
"1159",59899.2601037816
"1160",65323.0874391823
"1161",59391.9468417325
"1162",56900.9088470421
"1163",57182.4834359582
"1164",59614.6521059871
"1165",70906.0931070523
"1166",50806.2566689062
"1167",49037.5977844759
"1168",46420.2906186525
"1169",46017.3152656487
"1170",56220.4379218943
"1171",37492.888904534
"1172",38550.1949708231
"1173",37805.8075709274
"1174",37807.9399453106
"1175",126320.695127446
"1176",42654.7526546359
"1177",42630.338870402
"1178",41298.7430407447
"1179",42380.4806592703
"1180",37972.3068864349
"1181",45098.3592708872
"1182",96316.0571412649
"1183",132112.954748876
"1184",32392.2445659222
"1185",41984.0261068119
"1186",44058.2438024644
"1187",36128.0710691423
"1188",20971.7248275289
"1189",43089.8198789614
"1190",15852.753110184
"1191",16077.6522822059
"1192",16754.5172861611
"1193",40953.0996916581
"1194",56664.4834789302
"1195",56951.1376020522
"1196",54687.1638463653
"1197",55007.3071368638
"1198",36944.5889974663
"1199",45664.6085855903
"1200",49604.2806139349
"1201",36431.4970248162
"1202",18836.9863022457
"1203",106036.647935647
"1204",29708.5258652468
"1205",40199.2423136079
"1206",42124.9842509313
"1207",41205.5476634994
"1208",65110.165709456
"1209",64787.6228415333
"1210",60880.2449586255
"1211",61322.5881327619
"1212",60867.1643501987
"1213",60667.7382942342
"1214",52396.8119776985
"1215",52548.0389504649
"1216",63509.4947337513
"1217",63730.2126236689
"1218",63809.6515954234
"1219",25967.2934555867
"1220",78795.6756150756
"1221",82493.0476936652
"1222",47094.2159095745
"1223",47328.0833131391
"1224",47757.0666939797
"1225",76708.7892596965
"1226",66708.6981043433
"1227",81817.3858617514
"1228",33793.0076432804
"1229",35692.2548767545
"1230",34738.3105605721
"1231",35550.0913482665
"1232",36977.9777697724
"1233",23053.0374030779
"1234",22665.0016456041
"1235",22925.0059590185
"1236",41002.3279105234
"1237",42017.8288143118
"1238",53522.0920992065
"1239",65193.5413657138
"1240",65272.9192737847
"1241",76991.2622957415
"1242",60446.4501895881
"1243",56212.2434926828
"1244",58046.833184779
"1245",68039.0141521582
"1246",59147.7879042138
"1247",73484.4467933425
"1248",91174.5681969169
"1249",102685.646445865
"1250",94262.4893543891
"1251",95674.2559199854
"1252",86636.6573155986
"1253",93292.5879706258
"1254",97452.5387914498
"1255",103853.544413045
"1256",54634.6278364956
"1257",54591.6412653497
"1258",65490.8393268613
"1259",65527.9899195857
"1260",65527.9899195857
"1261",65557.2415473697
"1262",66682.3601452922
"1263",80803.0117267989
"1264",74422.8099132787
"1265",74851.338673966
"1266",94728.3176479572
"1267",94952.3490775663
"1268",16612.8832456721
"1269",41649.4840502477
"1270",103154.507039628
"1271",54328.4631726147
"1272",57548.0286045712
"1273",54253.8051011589
"1274",55257.3271924834
